actor/loss,critic/loss,critic/q,test/action/max,test/action/mean,test/action/min,test/action/size,test/action/std,test/episode_length/max,test/episode_length/mean,test/episode_length/min,test/episode_length/size,test/episode_length/std,test/episode_score/max,test/episode_score/mean,test/episode_score/min,test/episode_score/size,test/episode_score/std,train/action/max,train/action/mean,train/action/min,train/action/size,train/action/std,train/episode_length/max,train/episode_length/mean,train/episode_length/min,train/episode_length/size,train/episode_length/std,train/episode_score/max,train/episode_score/mean,train/episode_score/min,train/episode_score/size,train/episode_score/std,train/episodes,train/epoch_seconds,train/epoch_steps,train/epochs,train/seconds,train/steps,train/steps_per_second,train/worker_steps
75.264435,1.8206013,-78.178024,1.0,-0.045819923,-1.0,250,0.8956232,50,50.0,50,5,0.0,-0.35198945,-163.43185,-347.273,5,117.16199,0.9999559035614456,-0.008301487194476476,-0.9998551007230156,1000,0.5808851059417194,50,50.0,50,400,0.0,-126.81022582855076,-307.555480481202,-476.64667224884033,400,86.19597261300456,400.0,31.733760118484497,20000.0,1.0,31.733760118484497,20000.0,630.2436246233003,1000.0
33.681255,3.8637812,-38.15097,0.99998957,-0.20062764,-1.0,250,0.5155751,50,50.0,50,5,0.0,-1.0170401,-75.41184,-128.30699,5,60.79166,1.0,-0.058607299335898484,-1.0,1000,0.7124835740350101,50,50.0,50,400,0.0,-0.12822450237581506,-150.27917555972672,-354.8613873720169,400,85.978332121129,800.0,58.51265215873718,20000.0,2.0,90.27795672416687,40000.0,341.80641728121657,2000.0
15.677509,2.1347978,-18.059725,1.0,0.11674942,-1.0,250,0.7142759,50,50.0,50,5,0.0,-3.6329963,-116.41522,-223.9381,5,69.714005,1.0,0.04242658,-1.0,1000,0.76910466,50,50.0,50,400,0.0,-0.7627261185552925,-139.97961029641579,-346.3749768733978,400,81.41715284918746,1200.0,64.35441827774048,20000.0,3.0,154.70809888839722,60000.0,310.7789726834931,3000.0
22.785498,1.7128073,-24.448196,1.0,0.023931993,-1.0,250,0.65294474,50,50.0,50,5,0.0,-0.08620529,-139.88562,-338.04938,5,131.8784,1.0,0.033585474,-1.0,1000,0.68281657,50,50.0,50,400,0.0,-0.09809735970338807,-136.9049891934902,-340.7854078412056,400,75.30859196447742,1600.0,68.59107685089111,20000.0,4.0,223.3812825679779,80000.0,291.5831171958072,4000.0
30.783306,1.5982665,-32.07514,1.0,0.13065667,-1.0,250,0.68428564,50,50.0,50,5,0.0,-116.56925,-168.39484,-243.73125,5,59.773857,1.0,-0.0035304038,-1.0,1000,0.6682485,50,50.0,50,400,0.0,-0.0548126702215086,-144.35334333572163,-353.5060466527939,400,77.42732163809134,2000.0,69.5130705833435,20000.0,5.0,292.9725408554077,100000.0,287.71567465172996,5000.0
37.336914,1.5867724,-38.39037,1.0,-0.055573914,-1.0,250,0.8298434,50,50.0,50,5,0.0,-223.27846,-233.6071,-252.52693,5,10.337439,1.0,-0.0066674547,-1.0,1000,0.67623687,50,50.0,50,400,0.0,-0.04696063866867917,-138.31354897400053,-340.43210232257843,400,78.78955531537139,2400.0,72.44862937927246,20000.0,6.0,365.4997298717499,120000.0,276.05767246884585,6000.0
39.76663,1.546897,-40.68919,1.0,-0.17301257,-1.0,250,0.6265526,50,50.0,50,5,0.0,-116.73741,-142.92346,-224.87717,5,41.124924,1.0,-0.101266466,-1.0,1000,0.7021093,50,50.0,50,400,0.0,-0.2855342337861657,-141.87294919018206,-359.17449402809143,400,78.2997745687121,2800.0,68.7435233592987,20000.0,7.0,434.3157362937927,140000.0,290.9364987806472,7000.0
40.62367,1.6026784,-41.430576,1.0,-0.25900695,-1.0,250,0.6876635,50,50.0,50,5,0.0,-1.1659873,-139.61227,-232.59174,5,84.23105,1.0,-0.07540557,-1.0,1000,0.70051265,50,50.0,50,400,0.0,-0.4523571287281811,-145.61496764568992,-357.0227270126343,400,77.67721690224928,3200.0,73.70774435997009,20000.0,8.0,508.09428000450134,160000.0,271.3419081490953,8000.0
40.39849,1.5794264,-41.11382,1.0,-0.016049523,-1.0,250,0.6087723,50,50.0,50,5,0.0,-0.37203297,-118.82832,-231.00711,5,73.069855,1.0,-0.060243458,-1.0,1000,0.7146273,50,50.0,50,400,0.0,-0.4471908351406455,-144.6826771550972,-349.2045513391495,400,75.86204944137512,3600.0,74.87979984283447,20000.0,9.0,583.0533196926117,180000.0,267.09473104866845,9000.0
40.83792,1.567015,-41.524204,1.0,0.14778139,-1.0,250,0.61801314,50,50.0,50,5,0.0,-0.8835198,-93.88212,-213.05661,5,81.74294,1.0,-0.10901016,-1.0,1000,0.74387014,50,50.0,50,400,0.0,-0.07098378770751879,-146.2700591283209,-342.8324567079544,400,75.86838503537926,4000.0,71.41944599151611,20000.0,10.0,654.5462679862976,200000.0,280.035776283896,10000.0
